layer_from	node_from	layer_to	node_to	weight
Neotropics	Anacardiaceae	Indo-Malayan-Australasia	Anacardiaceae	1
Neotropics	Apiaceae	Indo-Malayan-Australasia	Apiaceae	1
Neotropics	Apocynaceae	Indo-Malayan-Australasia	Apocynaceae	1
Neotropics	Araucariaceae	Indo-Malayan-Australasia	Araucariaceae	1
Neotropics	Arecaceae	Indo-Malayan-Australasia	Arecaceae	1
Neotropics	Asteraceae	Indo-Malayan-Australasia	Asteraceae	1
Neotropics	Burseraceae	Indo-Malayan-Australasia	Burseraceae	1
Neotropics	Cannabaceae	Indo-Malayan-Australasia	Cannabaceae	1
Neotropics	Clusiaceae	Indo-Malayan-Australasia	Clusiaceae	1
Neotropics	Combretaceae	Indo-Malayan-Australasia	Combretaceae	1
Neotropics	Cucurbitaceae	Indo-Malayan-Australasia	Cucurbitaceae	1
Neotropics	Euphorbiaceae	Indo-Malayan-Australasia	Euphorbiaceae	1
Neotropics	Fabaceae	Indo-Malayan-Australasia	Fabaceae	1
Neotropics	Hypericaceae	Indo-Malayan-Australasia	Hypericaceae	1
Neotropics	Lamiaceae	Indo-Malayan-Australasia	Lamiaceae	1
Neotropics	Malvaceae	Indo-Malayan-Australasia	Malvaceae	1
Neotropics	Meliaceae	Indo-Malayan-Australasia	Meliaceae	1
Neotropics	Moraceae	Indo-Malayan-Australasia	Moraceae	1
Neotropics	Myrtaceae	Indo-Malayan-Australasia	Myrtaceae	1
Neotropics	Pinaceae	Indo-Malayan-Australasia	Pinaceae	1
Neotropics	Poaceae	Indo-Malayan-Australasia	Poaceae	1
Neotropics	Rhamnaceae	Indo-Malayan-Australasia	Rhamnaceae	1
Neotropics	Rubiaceae	Indo-Malayan-Australasia	Rubiaceae	1
Neotropics	Rutaceae	Indo-Malayan-Australasia	Rutaceae	1
Neotropics	Sapotaceae	Indo-Malayan-Australasia	Sapotaceae	1
Neotropics	Solanaceae	Indo-Malayan-Australasia	Solanaceae	1